individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
52;78;54;51;52;53;35;65;56;69;71;33;64;63;76;33;52;55;75;73;62;62;50;36;50;56;43;63;51;71;69;76;51;36;46;72;73;75;49;69;56;72;62;50;49;52;8;49;55;55;49;76;49;51;55;75;76;35;68;70;49;68;70;76;62;69;69;71;49;33;71;36;41;47;55;55;79;68;52;64;76;69;63;62;42;71;49;57;68;51;52;65;49;49;75;71;54;53;49;65
36;49;71;57;61;51;67;37;45;48;37;76;66;75;76;47;63;40;43;50;51;73;50;40;67;54;68;54;53;54;15;62;8;69;47;49;50;49;54;64;63;64;49;51;62;49;62;15;71;71;54;79;42;70;65;56;70;58;72;36;41;61;61;65;65;69;69;68;71;62;76;42;51;65;15;57;72;53;47;76;45;39;51;76;36;62;76;62;67;65;51;71;60;65;35;34;71;71;70;52
51;47;54;65;76;71;42;40;72;69;73;65;65;68;74;67;52;48;64;63;49;36;71;48;65;56;71;72;54;63;61;65;67;70;65;67;62;67;64;68;37;79;76;51;35;51;49;65;72;55;39;60;64;57;37;36;59;59;68;68;36;65;36;76;32;48;49;42;69;67;47;38;68;57;55;8;67;71;65;76;49;62;69;64;69;51;53;63;76;35;58;68;44;52;55;62;71;74;61;59
44;42;51;52;34;62;51;55;72;37;74;75;65;76;62;54;15;55;58;72;76;49;67;65;67;65;49;53;67;30;45;37;67;42;67;37;76;72;65;15;76;76;54;57;67;76;67;73;50;33;51;51;52;52;15;50;45;69;78;73;62;43;59;57;71;72;54;51;50;68;52;61;25;59;76;76;76;76;36;67;49;76;15;76;37;51;76;54;56;76;47;57;55;55;38;43;54;51;20;44
71;71;49;67;51;48;75;66;40;55;40;66;76;76;54;37;46;44;67;51;66;57;68;37;73;62;70;52;8;36;60;58;75;53;53;50;44;46;36;20;33;53;63;75;76;51;71;73;55;54;71;46;56;50;73;76;67;74;51;49;40;51;71;56;59;64;51;50;52;50;67;76;50;55;42;76;36;76;45;41;71;53;49;68;48;33;71;52;70;72;71;55;54;76;76;73;68;67;50;50
76;76;49;66;72;35;52;64;49;58;59;40;8;51;57;56;69;52;53;59;56;76;50;48;65;72;69;70;68;55;76;49;65;34;36;51;76;67;64;63;72;76;54;56;76;76;76;76;35;62;61;62;51;50;58;61;70;49;50;47;76;76;57;67;62;69;72;72;37;67;76;76;51;50;38;48;56;60;41;39;62;76;71;51;71;50;67;67;54;51;41;39;65;49;67;68;67;42;44;45
65;73;69;54;63;64;62;51;49;62;65;38;74;33;69;54;49;46;49;65;79;36;50;36;74;51;66;57;71;52;22;40;68;73;76;36;58;54;51;55;56;48;67;71;57;50;63;56;67;71;68;49;67;76;65;35;46;67;71;51;63;55;53;59;42;37;73;73;59;57;51;51;59;52;72;70;69;72;40;15;76;76;62;76;79;56;42;15;70;49;73;75;72;76;56;68;62;76;37;48
36;76;70;63;41;42;69;50;15;8;76;59;69;68;69;55;59;43;55;50;36;74;46;47;59;63;42;50;72;50;8;63;62;51;34;65;71;71;54;65;51;67;73;65;62;51;72;33;73;68;65;64;50;76;63;50;33;62;76;50;50;71;15;76;60;57;44;56;53;69;55;75;70;33;48;44;56;67;15;76;71;71;63;49;59;59;71;47;37;51;59;62;55;52;51;72;68;62;76;50
74;76;51;62;54;48;58;55;69;76;76;51;55;70;76;76;48;76;53;67;67;54;62;67;65;71;55;51;71;48;71;72;56;51;67;62;49;49;54;59;57;41;53;65;56;51;76;76;48;45;76;50;41;37;76;48;49;67;17;76;71;62;67;69;62;68;64;70;54;49;59;56;70;57;72;72;65;42;8;51;69;49;71;48;76;40;71;76;68;65;58;63;45;60;76;76;48;71;48;37
36;36;76;58;67;67;62;60;45;53;37;67;68;68;51;59;54;52;71;71;49;65;73;68;67;49;49;50;15;50;63;58;77;67;51;54;33;76;71;54;67;62;76;48;43;51;72;69;53;52;77;67;66;61;76;52;62;47;67;76;43;36;54;49;42;48;73;51;61;63;74;74;35;15;75;73;50;59;76;70;49;53;49;76;48;46;62;49;76;50;76;76;51;64;15;54;64;45;76;49
