Best;Top3;Top5;Top10;Population
26,15;21,35;18,29;14,84;9,509997
25,7;20,10001;17,45001;14,25501;9,080002
19,70002;16,50001;15,44001;13,65501;9,345001
17,3;16,3;14,93;11,6;6,675001
29,29999;25,05001;21,74001;16,62501;10,425
24,50002;16,40001;14;11,39;7,770001
18,8;18,1;17,03;14,435;9,64
20,59997;17,94998;16,06999;13,65499;9,304996
18,34999;16,44999;15,49999;13,39999;9,144994
14,75;14,2;13,57999;12,26;8,630001
22,10001;17,55;16,15999;13,60999;9,179996
23,30002;17,8;15,71;13,58;9,58
20,6;16,69999;15,22999;13,80499;10,06
20,3;15,44999;14,29999;12,215;7,604997
17,3;16,3;15,83;13,80501;9,375003
17,14999;16,99999;16,30999;13,71499;8,814998
22,24998;20,24999;18,58999;15,23;9,679998
17,60001;16,05001;14,72001;12,95001;9,100003
29,15;22,5;18,98;15,38;9,540001
14,6;13,5;12,71;11,39;8,159999
29,74998;26,84998;22,36999;16,955;10,485
27,05;21,25;18,98;16,205;9,895
