AggressivenessPct;ScaryPct;Speed;MaxVitality;Strength;MaxEnergy;SightDistance;FieldOfViewDregrees;SmellingHearingRadius;SeeingPriorityPct
45,76667;49,5;114,4333;14159,1;1,533334;1;66,89999;86,66666;27,3;48,33334
59,60001;51,5;127,8333;15097,63;1,533333;1;77,4;82,10001;29,9;45,09999
40,26666;51,39999;114,4667;14203,1;1,433333;1;77,6;90,60001;29,96667;27,7
41,1;45,9;127,1667;15217,2;1,3;1;89,43333;101,8333;31,66666;25,46667
33,33334;44,43333;124,7;14683,57;1,333333;1;78;98,06665;32,9;18,5
29,86666;47,93334;127,3;14880,3;1,233334;1;78,36666;97,29999;33,63334;14,13333
34,33334;42,76667;131,2334;14431,73;1,233333;1;70,2;92,43333;33,83333;10,5
35,10001;37,09999;134,4333;14757,97;1,033334;1;74,86667;86,60001;33,93333;4,466666
32,3;39,56667;135,1;14661,13;1;1;78,76666;95,16667;37;4
31,46667;41,26667;130,5;14244,13;1;1;78,89999;93,7;37,13333;4,733332
31,4;45,33333;135;14637,23;1;1;78,4;100,7;35,66667;3,599999
28,86667;46,73334;134,5;14520,13;1;1;79,73333;102,1667;36,33333;3,6
27,8;46,53334;137,3;14614;1;1;79,9;103,0333;36,66667;3,2
28,93334;45,73333;138,1667;14568,77;1;1;80,06667;103;38,66667;3,1
29,06667;43,30001;139,7333;14653,83;1;1;80,13332;100,8;39,53333;2,2
28,73333;46,23333;141,7;14692,83;1;1;80,23332;103,1667;38,13334;2,633333
29,16667;47,33333;142,4667;14676,3;1;1;80,49999;105,7;39,33332;2,3
27,7;46,53334;140,1667;14653,1;1;1;80,2;102,0333;38,73333;2,333333
29;48,59999;142,1;14638,63;1;1;80,36666;101,1333;39,43333;2,4
28,43333;47,66667;141,3667;14652,1;1;1;80,46666;102,3333;38,5;2,3
28,9;47,56667;140,9;14651,73;1;1;80,26666;99,99999;39,26667;2,2
28,03333;48,76667;141,7666;14631,97;1;1;80,23333;98,7;37,43334;2,666667
28,6;47,8;141,2667;14634,4;1;1;80,33333;99,56667;38,1;2,4
28,1;48,86667;141,8333;14629,6;1;1;80,43333;98,76665;36,86667;2,633333
28,66666;48,56667;141,8667;14629,03;1;1;80,33333;98,66666;38,40001;2,366667
28,5;48,03333;142,0334;14624,2;1;1;80,46666;98,86666;37,3;2,566667
28,2;48,4;141,5667;14624,97;1;1;80,46666;99,29998;38,7;2,566666
28,2;50,9;141,6;14619,37;1;1;81,23332;99,19999;38,16667;2,5
27,1;48,86667;141,2666;14613,6;1;1;80,23333;98,06666;37,03334;2,6
27,4;49,3;141,5;14625,17;1;1;80,59999;98,49998;37,80001;2,633333
27,46667;50,03334;141,7667;14604,37;1;1;80,6;99,16666;37,26666;2,666666
30,43334;50,2;142,2667;14625,77;1;1;80,3;99,46666;38,76667;2,4
28,1;47,70001;141,7;14634,24;1;1;80,36666;101,1;38;2,4
28;49,50001;142,2333;14616,63;1;1;80,3;100,6667;37,36668;2,6
27,8;49,73333;141,6667;14629,7;1;1;80,2;103,2667;38,46667;2,333334
27,53333;49,46668;141,7666;14627,2;1;1;80,09999;100,8667;37,2;2,466667
27,93333;49,00001;142,3333;14630,74;1;1;80,26666;100,9667;37,53334;2,366667
27,73334;48,83334;142,1;14644,5;1;1;80,16666;101,8;38,53334;2,233334
27,5;48,76667;141,7667;14645,67;1;1;80,16666;103,1333;38;2,333333
27,63333;49,73334;141,7;14635,67;1;1;80,43333;102,7667;38,36667;2,166667
27,36667;48,66667;141,5667;14629,7;1;1;80,13333;100,9667;37,9;2,533333
27,13333;51,53334;142,0333;14631,37;1;1;80,23333;102,9;36,73333;2,633333
27,2;49,73334;142,8;14634,64;1;1;80,26666;102,7;38,56667;2,333333
26,9;50,03334;141,7;14611,2;1;1;80,16666;100,5;35,56667;2,733333
27,36667;49,00001;142,0333;14630,64;1;1;80,13333;101,4667;37,30001;2,466666
26,7;50,40002;141,3;14609,24;1;1;80,26666;100,6667;35,90001;2,7
27,16667;49,96668;141,7666;14619,34;1;1;80,2;102,9333;36,7;2,6
26,96667;50,33334;141,5667;14634,83;1;1;80,3;103,4333;37,40001;2,3
27,6;50,86668;141,9667;14626,13;1;1;80,23333;103,7667;38;2,533333
26,66667;50,13334;141,8;14623,17;1;1;80,3;102,1666;36,93333;2,566667
26,56667;50,30001;141,7333;14610,97;1;1;80,2;103,7;35,4;2,799999
27,4;47,93334;142,0333;14640,47;1;1;80,1;103,8667;38,26667;2,266667
26,96667;49,7;141,8;14624,97;1;1;80,33333;103,2;37,13334;2,466667
27,1;49,16668;141,6;14624,57;1;1;80,16666;104,1667;36,3;2,533333
27,26667;48,83334;142,3333;14616,13;1;1;80,13332;101,3;36,33333;2,566667
27,73333;49,1;142,3;14649,63;1;1;80,09999;103,6;39,43333;2,066667
26,6;49,30001;141,4;14608,17;1;1;80,2;102,2;36,69999;2,733333
27,1;49,6;141,7333;14624,84;1;1;80,23333;102,9333;37,23334;2,6
27,33333;50,60001;141,7666;14621,6;1;1;80,36666;103,3333;36,33333;2,5
26,9;50,50001;142,1666;14611,77;1;1;80,1;104,2;36,33334;2,533333
28,53333;50,46667;141,9333;14624,7;1;1;80,1;103,1333;37,33333;2,533333
27,26667;49,96667;141,9;14635,67;1;1;80,09999;103,5;37,70001;2,4
26,86666;50,36667;142,0667;14628,2;1;1;80,03333;103,6;37,6;2,5
26,76667;49,8;142,0667;14629,74;1;1;80,09999;104,4;37,13334;2,4
26,93333;49,40001;141,8667;14620,34;1;1;80,13333;104,0667;35,36667;2,6
26,73334;49,13335;141,9667;14624,17;1;1;80,1;103,5667;36,33333;2,466667
26,8;50,06667;141,6666;14609,43;1;1;80,23333;105,3;34,60001;2,766666
26,53333;49,96667;141,5666;14605,17;1;1;80,13333;103,3667;34,26667;2,766666
27,13333;49,63335;142,1667;14627,87;1;1;80,16666;103,9667;37,26667;2,4
26,8;49,83335;141,6;14613,2;1;1;80,16666;103,4;35,8;2,666666
26,56667;49,20001;141,6667;14624,67;1;1;80,1;104,2333;36,06667;2,533333
26,8;49,50001;141,8;14625,1;1;1;80,2;103,8667;35,96666;2,533333
26,66667;49,7;141,7;14611,6;1;1;80,16666;102,9667;36,83334;2,666666
26,63333;49,26668;142,0667;14619,64;1;1;80,13333;103,1333;35,83333;2,666667
26,76667;49,70001;141,4333;14618,3;1;1;80,23333;104,2;35,16667;2,566667
27,2;50,10001;142,1333;14620,7;1;1;80,13333;105,0667;36,86667;2,4
26,7;49,90001;141,6666;14613,47;1;1;80,16666;105,1667;35,16667;2,666667
27,13333;49,46667;142,0333;14622,6;1;1;80,09999;104,4667;36,26667;2,533333
26,43333;49,76668;141,6;14607,77;1;1;80,09999;103,4667;35,03334;2,8
26,66667;49,40001;141,6333;14620,03;1;1;80,13332;104,6667;34,93333;2,6
26,73334;49,43334;141,7666;14615,94;1;1;80,1;102,9667;35,7;2,666666
26,6;50,06667;141,4666;14625,37;1;1;80,16666;103,9667;36,60001;2,633333
26,13334;49,76668;142,0333;14622,2;1;1;80,06666;103,3333;36,26667;2,533333
26,6;49,23334;141,5667;14617,7;1;1;80,16666;103,8;35,53334;2,6
26,53333;49,70001;141,8667;14624,3;1;1;80,03333;102,6;35,83333;2,5
26,83333;49,5;142,2667;14634,8;1;1;80,1;104,1;36,83334;2,4
26,73333;50,60001;142,2333;14619,57;1;1;80,06666;103,5667;37,79999;2,433333
26,9;49,43334;141,8667;14625,7;1;1;80,03333;103,3;37,2;2,5
27,03333;47,36667;141,7333;14631,67;1;1;80,09999;104,1666;36,76667;2,433333
26,76667;47,73334;141,7666;14624,67;1;1;80,06666;102,9667;37,1;2,433333
26,83334;48,73335;141,8333;14617,5;1;1;80,09999;103,1;36,03333;2,666666
27,2;45,90001;141,8667;14622,14;1;1;80,03333;102,5667;36,36667;2,566666
26,5;48,86668;141,7333;14619,97;1;1;80,16666;104,7667;34,63334;2,633333
