individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
40;42;47;49;46;34;38;39;47;39;45;47;43;46;39;47;43;40;47;47;47;47;44;41;47;45;39;45;40;41;39;48;37;43;42;44;39;44;41;44;47;37;34;39;47;45;47;47;48;47;40;44;47;47;39;41;47;41;47;45;45;41;48;44;46;47;47;44;43;47;29;45;36;49;40;48;36;36;41;39;44;45;45;46;47;45;44;42;46;43;49;39;45;38;42;47;47;46;40;44
39;41;42;38;36;45;46;44;44;42;47;38;47;46;49;45;44;43;38;37;35;44;47;34;44;42;45;45;44;46;40;39;47;38;44;47;47;42;47;48;41;42;46;47;44;39;42;48;47;47;45;40;40;42;47;43;46;43;47;47;39;44;49;49;43;46;41;45;45;43;39;47;41;44;45;47;39;47;39;42;44;45;47;46;47;45;36;38;46;40;45;46;45;43;47;47;47;47;44;38
46;44;46;38;39;46;44;47;41;45;46;47;45;47;47;47;47;47;46;44;47;48;45;40;47;47;38;47;39;38;44;45;43;41;46;46;40;42;42;43;44;44;47;45;45;47;46;41;47;47;41;43;47;46;48;39;42;48;44;47;47;47;47;42;41;47;46;45;44;46;45;46;43;45;44;44;39;47;44;44;46;47;41;41;47;36;47;47;45;47;47;47;40;47;49;47;41;41;46;46
44;44;47;41;47;47;47;47;47;46;40;40;43;46;46;39;46;47;47;44;41;41;47;46;45;47;44;43;44;44;39;36;47;45;38;42;48;48;40;43;46;44;46;47;39;46;43;47;46;45;45;45;47;46;47;47;47;47;47;47;45;44;41;44;47;47;47;48;44;42;47;47;47;49;46;39;48;47;47;38;44;35;46;46;47;47;47;47;47;47;44;22;48;39;47;46;47;47;42;44
45;47;46;47;47;39;46;46;41;41;47;47;45;46;48;49;47;43;46;47;43;47;36;47;47;41;44;42;45;45;39;45;49;47;43;45;43;45;44;42;46;47;47;47;48;46;48;46;46;39;38;39;46;47;44;47;47;44;47;48;46;48;44;43;42;43;42;45;44;44;49;47;45;44;44;41;40;40;35;46;47;45;47;48;45;46;47;48;47;44;47;47;49;49;46;44;47;47;39;47
48;47;44;37;43;43;47;47;46;46;44;39;45;45;45;43;45;47;45;48;44;42;45;49;34;39;47;47;40;49;46;46;44;45;48;46;47;41;47;45;46;46;47;24;47;47;44;46;46;41;46;47;44;44;45;48;44;47;40;45;46;46;47;47;46;39;47;47;45;49;39;49;44;47;46;47;48;47;47;43;44;44;48;38;41;45;39;46;44;41;47;43;42;46;48;47;44;35;44;49
47;46;45;37;44;49;44;44;34;43;47;46;46;49;46;44;45;43;47;46;47;41;47;39;47;39;45;47;45;45;47;47;47;45;47;47;47;48;49;44;46;46;44;46;38;47;48;47;42;39;48;42;45;47;47;43;48;46;44;47;49;36;48;45;47;39;45;41;47;47;47;47;47;48;47;47;38;44;47;47;41;45;45;43;46;39;43;46;44;47;45;45;41;45;46;41;46;43;46;46
45;47;47;45;48;47;47;46;41;46;47;47;41;39;48;47;48;49;41;49;47;44;44;47;47;48;48;49;44;47;43;43;47;45;49;47;45;46;44;36;38;39;45;47;46;47;47;45;46;46;47;46;47;47;47;47;45;45;48;39;48;45;45;47;41;47;46;45;47;48;36;47;47;48;47;44;44;47;42;46;46;45;46;47;46;49;47;39;44;47;45;47;45;47;36;47;47;46;47;47
47;47;47;47;47;48;47;43;45;47;44;45;44;46;45;47;43;42;45;47;46;47;47;47;45;46;49;48;44;47;49;39;41;45;46;47;49;49;48;42;42;44;47;47;45;48;47;47;36;47;48;39;47;47;49;46;47;43;47;48;47;41;45;41;47;47;47;48;47;46;47;46;41;47;47;35;44;44;49;48;46;42;47;48;47;48;47;48;39;49;45;46;47;47;47;47;48;48;46;43
47;47;46;47;44;42;47;44;48;47;48;48;41;39;45;46;43;41;42;43;47;44;48;47;47;49;44;42;45;47;46;41;46;47;47;41;44;47;43;47;46;49;46;45;47;47;47;48;46;46;48;45;43;44;48;47;47;47;48;48;45;45;48;47;45;47;47;46;41;43;41;41;44;48;48;47;39;47;46;42;47;46;47;47;47;47;41;44;39;46;45;45;47;47;47;47;47;48;43;48
47;48;47;47;43;46;48;39;47;47;47;47;44;47;45;37;47;47;43;42;41;43;47;46;47;48;44;46;44;47;48;44;42;43;41;45;48;45;47;47;47;48;41;46;47;47;47;47;47;45;46;47;44;47;47;45;39;47;47;48;46;45;39;41;43;44;47;47;45;47;40;46;44;43;39;47;48;47;47;46;44;47;48;43;41;45;46;47;49;47;47;47;46;41;41;47;47;39;47;47
47;47;47;37;48;47;46;41;48;48;48;46;47;39;44;46;48;48;47;45;42;44;47;47;47;47;42;45;47;45;48;46;47;47;47;48;47;48;47;47;47;47;48;47;47;47;44;46;46;44;47;48;45;40;45;42;47;47;47;47;47;39;39;47;48;48;41;47;43;46;47;47;46;42;41;44;47;38;46;49;47;47;40;46;38;47;35;48;45;42;47;48;46;45;47;46;47;47;47;47
48;39;44;41;47;47;47;47;47;46;45;44;45;44;47;44;47;35;47;47;49;45;46;47;48;42;47;46;48;41;41;41;47;48;48;47;46;46;47;48;49;45;46;47;47;49;47;47;47;48;47;48;47;47;47;44;47;44;44;44;47;48;48;47;47;45;47;47;47;47;41;47;47;48;43;39;48;39;45;46;49;48;47;48;44;48;43;43;47;49;45;47;46;46;47;47;41;45;46;47
46;45;44;47;41;41;41;41;46;47;46;49;47;42;41;47;47;47;45;43;47;49;47;46;46;49;47;49;46;46;46;46;47;48;38;39;46;47;40;44;47;43;47;46;48;44;46;47;48;47;45;47;47;45;39;44;48;45;47;47;45;41;46;47;47;47;47;47;47;43;47;47;41;38;46;44;39;45;47;47;45;44;45;47;41;47;47;47;46;47;47;47;47;41;44;47;45;46;47;47
