individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
94;13;76;59;65;70;94;59;89;59;71;98;79;77;67;59;74;93;99;89;90;89;86;98;70;70;18;61;69;69;55;92;59;71;95;71;59;13;67;71;99;55;59;97;97;89;89;89;87;75;74;79;87;71;54;47;89;66;81;80;62;87;93;67;71;86;37;75;89;67;94;97;60;66;91;90;94;89;67;66;79;74;71;86;63;76;13;79;76;80;59;59;73;86;93;99;99;71;63;72
72;81;60;70;67;82;80;71;13;79;89;94;89;76;82;81;63;89;86;55;97;71;78;75;41;38;97;97;80;13;93;74;76;69;71;91;71;78;90;76;88;74;90;92;67;59;80;90;90;86;99;86;89;59;67;89;93;91;90;98;63;75;66;59;95;76;67;59;70;89;59;67;67;63;89;90;88;90;93;67;91;97;84;94;81;85;59;86;59;59;71;73;79;77;90;89;83;77;13;86
89;89;80;86;59;67;81;79;90;13;71;90;70;72;90;89;79;88;71;91;90;86;88;82;90;70;94;99;85;92;71;13;58;87;80;71;97;55;69;69;75;67;98;70;97;89;68;85;89;89;81;89;78;69;74;75;59;67;71;99;70;67;79;70;93;73;83;80;89;89;93;44;72;71;78;72;55;98;58;65;71;70;89;66;67;59;90;90;82;81;99;90;86;84;84;74;85;80;80;73
41;47;99;66;89;89;67;99;98;80;94;95;72;89;93;86;88;75;84;76;66;67;90;98;63;99;90;90;71;70;59;59;89;13;96;91;89;59;60;70;44;71;99;70;69;80;89;89;56;47;91;76;93;86;74;72;89;76;90;90;70;68;32;62;89;90;67;92;59;89;90;90;89;59;88;87;90;90;92;92;71;97;31;71;89;90;90;95;76;89;66;64;90;66;82;81;97;91;66;86
73;98;80;90;67;66;70;70;81;66;92;95;13;98;72;84;59;90;71;79;89;90;59;99;74;82;60;71;63;71;55;97;68;74;89;97;71;79;62;17;95;74;74;85;82;79;73;90;80;59;85;75;84;78;75;68;71;70;70;89;59;70;76;89;68;62;80;65;99;67;59;76;60;62;98;86;67;59;98;98;75;74;89;90;68;46;90;90;44;89;79;90;63;62;63;99;89;90;69;60
90;89;86;71;86;66;86;70;75;85;71;59;13;63;67;70;72;90;99;66;59;89;63;66;62;64;90;70;73;77;73;76;71;70;90;71;99;66;67;75;76;81;70;71;91;84;71;71;67;71;76;73;71;71;90;97;75;89;73;90;71;89;68;69;81;81;85;74;70;59;59;59;77;83;83;87;84;80;89;90;63;41;88;88;67;63;86;90;71;67;89;89;67;66;90;95;75;97;65;66
96;91;70;97;42;65;67;90;67;89;80;92;69;68;71;58;90;94;75;87;70;66;72;84;74;59;98;98;96;91;89;90;90;73;83;86;84;80;75;68;90;44;90;89;94;90;96;91;80;59;59;81;81;81;84;86;88;75;74;75;59;59;44;28;86;90;87;84;99;99;99;74;89;90;79;79;96;97;95;90;59;99;79;80;85;55;90;98;44;99;90;89;64;62;59;90;89;79;89;90
90;71;90;13;97;92;74;80;81;73;74;79;95;86;97;99;64;85;66;74;72;73;99;95;95;97;90;66;74;44;71;85;95;71;66;90;90;63;59;63;81;64;99;97;90;97;76;91;76;71;98;71;90;90;70;74;86;84;90;55;97;70;82;84;69;71;75;59;90;95;60;90;66;89;72;73;99;91;72;79;87;81;85;95;71;75;89;66;89;91;81;82;90;90;59;79;93;91;99;89
90;89;89;79;84;80;85;83;41;61;41;71;85;44;87;89;25;55;97;86;80;99;92;96;80;77;59;90;99;74;68;59;66;73;75;76;59;59;83;87;47;73;76;91;73;90;90;74;59;89;90;66;90;91;66;89;75;72;71;68;84;87;81;90;90;97;98;98;86;74;83;80;93;91;95;91;90;66;59;97;74;81;74;90;90;70;91;90;66;66;63;74;91;74;98;91;78;77;90;95
88;84;85;86;81;68;89;99;93;93;67;97;81;59;97;71;89;67;94;89;84;73;94;79;90;59;72;80;98;98;59;90;67;89;91;66;74;68;95;89;85;59;87;88;90;91;90;90;80;85;90;73;83;63;92;90;88;84;72;93;90;63;71;90;97;90;91;91;89;67;95;81;46;92;90;90;86;62;67;66;84;79;83;98;98;89;94;76;90;93;90;90;90;90;99;99;92;71;71;97
