individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
96;15;68;96;79;79;12;14;21;15;31;47;22;29;45;80;44;12;19;22;92;22;52;68;38;37;43;99;55;78;93;64;80;77;29;69;81;99;78;48;24;99;14;61;24;29;22;22;27;62;78;68;45;72;47;25;26;32;88;63;89;85;57;48;72;83;19;99;40;41;64;31;99;41;61;42;66;39;47;43;72;41;76;84;21;65;58;93;57;66;82;98;44;73;39;25;19;59;99;69
29;73;76;81;41;71;27;79;99;52;22;12;22;71;33;39;29;29;73;99;56;35;77;59;98;37;31;31;27;99;39;43;78;88;21;24;32;45;42;65;67;52;65;64;41;81;52;42;93;84;61;36;27;24;43;38;22;19;93;47;81;68;41;99;20;64;41;46;50;37;81;45;44;24;52;35;64;73;76;52;24;29;22;24;65;65;75;79;84;90;45;59;22;47;56;59;56;62;99;73
31;28;27;73;93;59;56;45;49;99;92;72;21;22;93;22;57;32;73;28;85;86;35;42;25;42;12;24;52;56;79;99;99;93;48;38;31;99;48;75;68;21;50;19;31;22;12;99;22;22;25;58;33;39;18;83;47;99;79;19;25;45;35;42;47;19;65;59;37;22;95;80;69;60;71;76;52;60;75;92;50;46;42;38;45;81;92;92;52;85;42;24;53;38;97;21;35;53;27;59
83;84;23;32;22;22;45;19;24;22;19;12;70;22;76;73;59;92;58;43;36;47;24;22;21;42;22;37;57;70;81;81;22;99;65;56;55;66;14;79;86;84;25;24;75;64;37;22;99;92;22;71;26;25;22;44;22;65;93;93;54;35;25;99;22;93;62;46;72;31;22;24;22;99;45;50;24;42;59;45;79;56;87;34;93;22;42;84;65;22;97;75;42;43;44;42;82;30;36;60
44;47;29;40;45;43;46;46;30;27;22;19;42;76;42;41;99;13;71;22;64;65;81;42;36;93;78;80;21;59;64;60;41;65;33;35;56;55;70;61;32;58;22;25;78;80;59;87;27;81;18;37;39;42;44;43;54;67;45;64;99;50;43;37;61;79;86;31;42;47;75;89;21;40;59;33;51;77;24;56;51;58;24;22;23;30;42;24;22;99;24;22;41;99;21;24;22;93;81;42
42;22;29;47;60;32;53;73;50;93;79;14;99;21;47;25;21;42;42;41;81;22;23;39;77;56;59;76;84;84;44;65;79;50;54;59;30;21;22;21;65;45;25;59;36;53;73;74;61;57;60;64;76;79;50;52;47;43;45;12;50;24;44;42;67;71;22;25;98;51;81;99;22;76;74;45;76;69;37;24;21;83;42;73;43;25;30;65;76;47;22;37;32;45;42;19;68;56;26;36
37;36;42;56;39;83;63;77;47;42;42;36;55;57;95;97;34;22;22;59;25;36;22;43;80;66;36;37;65;31;25;39;66;77;24;42;65;42;49;60;74;49;92;37;30;75;52;24;52;14;51;73;38;28;24;77;42;59;66;67;91;89;99;99;48;67;65;25;38;28;24;65;22;42;22;22;38;16;19;93;81;42;52;27;93;93;33;28;56;67;24;37;26;32;50;73;22;52;59;28
65;56;93;99;24;42;44;48;35;49;27;60;19;73;50;26;53;70;87;37;65;79;30;31;36;35;42;41;58;99;36;65;37;41;41;42;24;21;21;81;73;14;42;31;42;31;60;42;71;59;53;65;42;42;25;58;33;42;58;77;52;50;65;65;36;58;97;95;42;19;81;24;41;59;42;68;42;24;25;25;70;61;74;38;27;39;25;40;22;22;46;90;43;64;47;56;24;93;19;22
92;22;22;22;87;65;31;77;99;22;83;59;97;95;69;80;47;99;60;84;27;24;22;24;79;84;87;54;42;65;41;81;32;44;71;67;99;99;52;42;54;81;65;24;42;44;52;37;81;22;42;43;93;24;42;58;70;72;59;39;88;30;34;56;24;31;49;45;52;41;59;65;20;21;36;42;32;42;69;82;22;36;51;56;42;42;42;24;43;39;21;65;59;28;89;46;39;22;42;19
23;58;74;84;34;22;37;27;36;38;19;39;15;24;31;79;37;47;12;22;83;80;52;65;24;99;32;52;32;41;63;60;44;59;22;32;22;21;35;21;74;99;74;43;91;25;69;66;63;38;42;44;77;21;77;79;22;59;39;24;37;27;51;50;84;39;44;63;47;37;23;21;52;83;71;64;21;15;44;32;87;65;53;25;21;20;67;20;12;22;65;65;22;24;42;42;48;57;65;64
