Best;Top3;Top5;Top10;Population
3,500001;3,2;3,05;2,84;2,405
5,300002;4,000001;3,680001;3,305001;2,660001
5,600001;5,250001;4,820001;4,205;3,07
6,8;5,85;5,54;5,045;3,58
7,099999;6,849999;6,529999;5,944999;4,379999
7,400004;7,100003;6,860003;6,380003;4,410001
7,699999;7,3;7,039999;6,635;5,44
9,950001;9,05;8,42;7,385;5,085001
10,55;9,850001;9,050002;7,895003;5,375002
9,200001;8,699999;8,24;7,114998;4,989999
12,5;9,399999;8,659999;7,654998;5,189999
10,85;9,399996;8,509996;7,249997;5,054999
17,29999;12,99999;11,65999;9,829994;6,259997
15,64999;13,8;11,78;9,694999;6,649998
15,05;13,35;12,02;9,634998;6,284999
20;15,7;13,25;10,34;6,55
11;9,949999;9,559999;8,81;6,32
22,4;16,75;14,78;12,125;7,834996
12,95;11,7;10,85;9,26;6,330001
17,6;12,5;11,12;9,589997;7,014997
13,7;12,99999;12,25999;10,79;7,444999
14,60001;11,6;10,64;9,095001;6,345001
17,3;14,9;14,06;11,405;7,304998
13,55001;12,30001;11,24001;9,890004;7,330002
15,65001;12,35;11,57;10,4;7,080001
15,65001;14;13,25;11,735;8,055
21,65;15,7;14,03;12,365;7,975
19,1;16,85;15,56;12,755;7,569999
18,34999;15,79999;14,41999;12,46999;8,124995
14,15;11,85;11,03;9,740001;7,150001
15,05;13;11,87;10,205;6,475
12,5;12,05;11,51;10,16;7,160001
13,10001;12,3;11,54;10,085;7,145002
15,65;13,90001;12,95;11,15;7,76
21,35;16,7;14,12;11,345;6,839999
16,7;15,1;14,27;12,035;7,415001
16,69999;15,24999;13,66999;11,34499;7,189998
24,35001;17,95;14,6;11,525;7,275
25,39999;18,4;16,4;13,34001;7,950001
15,65;14,35;13,1;11,375;7,724999
15,95;12,65;11,63;10,55;7,324997
13,55;12,45;11,63;10,85;7,910001
15,5;12,65;11,78;10,16;7,135001
12,35;11,6;11,21;10,28;7,084999
15,8;13,5;12,68;11,09;7,484999
15,20001;13,70001;12,50001;11,22501;7,745005
11,74999;11,05;10,7;9,664997;6,949999
15,05001;13,20001;12,32;10,715;7,304999
16,4;15,3;14,12;12,71;8,225001
16,55001;12,95001;11,57;10,13;7,365002
16,39999;15,34999;14,17999;12,67999;8,139997
17,44999;14,55;13,81999;12,17;8,649999
15,20001;13,25001;12,20001;10,70001;7,405003
11,60001;10,8;10,34;9,440002;6,975
19,39999;17,05;14,3;11,63;8,165
19,54999;15,2;13,34;11,51;7,494999
13,25;11,8;11,06;10,01;7,094999
10,7;9,950003;9,380002;8,615003;7,050002
13,25;12;11,09;9,680004;6,680003
10,25;9,950003;9,740002;9,065001;6,429999
17,14999;12,89999;11,45;9,679998;6,174999
14,44999;11,64999;10,54999;9,304996;6,869998
14,75;14;13,73;12,14;7,980002
13,09999;12,34999;11,38999;9,829997;6,764998
18,49999;13,89999;12,62;10,715;7,014999
21,5;14,5;12,65;11;7,839998
14,00001;13,45001;12,47001;11,165;7,740003
12,65001;11,05;9,950002;8,705;5,82
16,1;14,05;12,71;10,73;7,334999
