AggressivenessPct;ScaryPct;Speed;MaxVitality;Strength;MaxEnergy;SightDistance;FieldOfViewDregrees;SmellingHearingRadius;SeeingPriorityPct
88,14002;45,49;135,62;526,06;135,14;3,999997;72,73;122,4;46,24998;20,14
88,79002;47,5;136,97;519,6798;137,5;3,819998;71,3;121,44;46,14999;20,05
89,78001;44,55;131,95;529,02;136,91;3,819998;70,61001;120,53;46,06999;19,4
87,89003;45,91;131,98;526,4999;138,04;3,819997;71,55998;120,69;46,72999;19,14
88,05002;50,96002;134,41;525,1499;137,69;4,009997;71,25;122,44;46,59998;18,96
88,22998;49,65001;130,94;522,83;137,64;3,979997;71,84;120,28;46,12999;19,83
89,20002;47,58001;130,63;521,04;138,06;4,069997;73,16999;119,8;46,47999;19,04
88,87003;47,66;131,56;529,6099;136,18;4,009997;71,28;120,5;46,55999;19,32
87,85;49,25001;128,78;527,5001;140,74;4,039998;72,43001;119,2;46,98;19,08999
90,00003;48,57;136,47;517,7001;138,89;3,729997;72,18;120,77;46,42999;17,64
89,48;46,49001;128,15;521,33;139,61;4,079998;72,18;118,44;46,64;18,89
89,87;47,70002;138,37;512,03;136,28;3,719998;72,3;122,35;45,96999;17,58001
89,34002;47,45999;129,3;531,69;138,1;3,949997;70,78002;119,6;46,66999;18,50001
87,24003;49,77;135,07;516,37;139,25;4,049997;71,83;119,89;46,64999;20,45999
89,08002;45,7;133,46;520,92;138,68;4,029997;71,49001;120,19;46,16997;20,36
88,28003;51,4;129,28;520,27;138,96;3,979997;72,96001;119,3;46,65;20,72
89,92003;47,70001;129,97;516,02;141,22;3,949997;73,37;119,24;46,81997;19,54
89,33002;47,98001;131,3;525,8199;138,59;3,979997;72,23001;119,3;46,60998;19,17
90,38004;46,20001;131,98;520,5301;136,43;3,769998;73,11002;120,1;46,18999;18,19
89,23002;47,58999;134,88;512,49;137,05;3,819997;73,10999;119,82;46,10999;18,49
88,30002;48,13999;133,14;514,09;137,13;3,919997;73,35;120,76;46,42999;18,85
88,99004;49,72999;128,19;526,2998;140,02;4,139997;73,24001;120,05;46,69998;19,78
89,14005;46,01001;134,53;520,81;135,94;3,909997;71,52;121,81;46,36999;18,9
91,28002;43,37;134,09;525,6301;137,76;3,719997;71,04;120,43;46,43998;18,01
89,56003;48,56001;132,26;521,9499;140,38;3,979997;71,41;120,02;46,61998;18,08
89,26003;46,96;136,61;513,17;140,39;3,849998;74,66999;121,61;46,67997;18,91
88,95004;45,76;136,06;516,38;137,82;3,909997;73,56999;121,45;46,55998;17,54
90,13002;45,17;136,03;508,72;136,14;3,749997;71,99999;122,33;46,13998;16,3
90,71002;47,35001;129,15;522,1099;138,35;3,949997;73,47999;119,27;46,76998;18,92
90,49001;44,61;132,12;515,77;140,25;3,809998;73,07001;119,32;46,35998;18,3
90,44004;48,44;132,08;521,4;139,55;3,949997;73,31001;120,74;47,05997;19,32
88,85001;48,93001;133,06;513,48;140,17;3,899997;74,50001;120,07;46,89999;18,99
88,44001;46,75002;130,06;515,37;138,05;4,039998;73,38998;120,13;46,89998;20,18999
90,82001;48,42001;130,18;512,95;139,26;3,959997;72,69997;118,39;46,77999;17,54
91,30002;45,48;134,62;508,24;141,87;3,779997;73,93001;118,58;46,70999;18,14
91,30003;47,78;137;504,4401;140,83;3,759998;74,04002;120,83;46,90999;17,59
92,14003;49,09001;133,46;511,55;142,35;3,859997;73,78001;121,17;46,80997;17,92
