individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
14107;16854;15014;12210;12345;11023;14048;19978;17264;10100;10072;14800;12307;14734;18869;12276;13143;14681;19741;18291;10185;12781;12859;12021;18721;16837;19851;18361;19050;14665
15014;18869;12210;14665;15246;17222;14665;14048;13697;14180;13298;13609;14681;18291;19021;12888;10072;17264;18775;19327;19978;14800;15014;11023;13238;13079;14665;18869;10141;12141
15014;12210;13079;10072;13079;13298;14107;13238;18869;18721;17561;14293;12380;13128;14800;17222;14107;15246;18624;13368;13757;13429;14685;14994;18869;14665;17107;16928;18869;18869
14107;14107;18775;13757;14107;10141;14693;17107;13302;14771;13079;13298;13459;14132;13128;13128;16000;17498;15184;14169;10072;14107;16562;15970;14093;14678;13238;13429;11742;18071
13476;13710;13271;13614;13079;13128;13429;13429;10072;14107;13079;14107;13079;14107;14080;13217;14257;14528;14413;14558;13079;13128;13302;13238;13614;13572;13105;13102;13128;13757
13552;13310;13572;13105;14293;13079;13757;14528;13128;13079;13757;13079;14293;13572;13429;13757;13271;13757;13079;13079;13429;13271;13468;13575;13757;13429;13429;14528;13915;14698
13101;13083;13437;13749;13444;13742;13572;13757;13638;13200;13310;13079;13397;13439;13429;13757;13677;13509;13757;13757;13714;13615;13079;13915;13750;13579;13572;13757;13429;13079
13742;13757;13210;13140;13559;13449;13384;13466;13079;13757;13541;13344;13757;13757;13412;13145;13757;13757;13757;13128;13271;13757;13579;13579;13714;13757;13128;13079;13128;13429
13210;13271;13449;13757;13757;13210;13128;13271;13724;13243;13579;13429;13742;13128;13579;13757;13139;13176;13579;13466;13471;13414;13210;13210;13398;13339;13380;13279;13207;13131
13579;13449;13450;13465;13429;13579;13470;13430;13509;13704;13523;13298;13411;13326;13915;13579;13155;13730;13210;13466;13279;13128;13271;13579;13579;13271;13753;13453;13356;13494
13128;13128;13271;13271;13660;13210;13271;13271;13757;13915;13523;13079;13283;13567;13621;13392;13271;13579;13402;13448;13727;13609;13579;13579;13471;13579;13449;13579;13757;13704
13449;13465;13128;13271;13579;13704;13286;13313;13411;13579;13330;13370;13271;13271;13490;13537;13432;13418;13363;13431;13128;13271;13734;13629;13579;13471;13269;13081;13271;13271
13530;13622;13271;13271;13398;13322;13128;13128;13621;13271;13128;13271;13128;13466;13704;13449;13579;13271;13732;13714;13579;13271;13523;13448;13757;13271;13215;13184;13757;13271
