individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
10;10;11;10;11;10;10;9;8;10;9;11;9;9;10;10;10;10;11;9;8;11;11;10;11;10;9;9;11;11
11;10;10;10;9;10;11;10;11;10;8;8;10;10;11;10;10;11;10;12;10;9;11;11;10;9;10;10;10;10
10;10;10;10;10;10;10;10;8;11;10;9;10;11;10;8;10;10;9;10;8;9;8;10;10;10;10;8;10;8
10;9;10;10;11;11;12;9;11;11;10;12;10;10;12;9;12;11;10;10;8;9;10;8;9;11;8;10;11;10
10;9;10;11;11;11;10;10;11;11;8;9;8;9;11;10;11;10;10;11;12;10;11;12;11;11;10;9;9;8
12;12;11;9;11;10;11;11;12;10;8;10;10;8;10;10;8;10;12;9;9;11;11;9;10;10;10;9;11;12
10;8;10;9;12;9;8;9;10;10;10;9;11;8;9;10;10;10;10;11;10;11;10;11;10;10;11;10;11;11
9;10;8;10;11;10;12;9;9;12;10;11;9;9;12;11;9;11;10;9;10;10;10;11;9;11;11;10;8;8
10;11;11;10;9;10;12;10;10;10;10;12;10;10;10;10;10;10;10;11;10;10;10;10;10;9;12;10;10;11
10;10;10;10;11;11;11;10;12;9;11;10;10;11;12;10;11;10;8;8;9;8;10;11;10;10;10;11;9;10
11;10;11;10;10;10;11;11;10;10;11;10;11;10;10;10;11;10;11;11;9;9;8;11;9;10;8;9;9;10
10;10;10;10;9;11;11;12;11;10;11;11;10;10;8;8;8;8;10;12;10;10;10;11;10;8;8;9;10;10
8;10;10;10;9;9;10;9;11;10;8;10;12;9;9;11;11;10;9;10;10;10;11;10;10;10;10;11;10;11
8;10;10;10;10;10;10;10;10;10;9;11;11;9;10;12;11;10;10;10;10;10;10;8;10;10;9;9;10;10
9;9;9;10;11;10;10;10;10;10;10;8;11;8;11;11;9;10;11;11;10;10;11;11;10;9;8;10;11;10
9;10;10;10;9;10;11;10;9;8;8;11;10;12;9;10;10;11;10;11;10;11;11;9;9;8;10;9;10;10
10;11;10;10;10;10;8;10;10;11;12;10;11;9;9;8;8;10;12;10;10;8;10;9;9;9;10;10;9;11
11;10;10;11;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;10;11;10;8;9;10;12;10
12;10;10;10;10;12;10;9;11;10;9;8;10;10;11;11;8;10;11;10;12;10;10;9;11;8;10;10;10;11
