individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
136;25;128;12;84;152;42;42;67;161;86;85;149;88;96;143;39;60;71;160;51;25;123;138;52;69;70;74;122;50
45;132;52;128;115;122;12;152;17;131;137;142;51;85;58;67;51;51;105;132;52;52;12;25;161;85;61;133;12;85
90;113;84;88;132;161;12;122;97;75;69;82;65;52;48;54;85;61;136;86;55;105;143;115;119;53;124;92;115;85
88;48;85;124;67;149;92;109;113;115;81;69;125;142;67;85;136;120;115;115;85;52;112;96;124;122;96;120;106;97
128;146;124;114;83;81;107;105;76;85;114;59;97;122;113;115;115;113;88;65;65;65;112;88;125;88;92;85;51;121
67;97;51;51;113;65;114;115;115;122;67;105;91;121;100;112;114;88;111;101;124;51;114;124;88;97;102;112;66;121
71;115;51;66;113;51;114;65;113;113;110;55;97;124;152;51;67;109;114;121;114;65;100;51;115;94;55;93;106;108
94;124;88;91;88;68;105;79;110;113;91;51;51;88;51;51;94;88;88;88;93;89;121;113;51;100;88;91;51;100
91;51;120;118;98;98;98;114;84;75;100;88;121;100;124;124;54;85;110;121;121;71;91;71;76;96;90;89;88;88
71;71;79;63;99;92;56;66;93;98;121;121;88;91;121;121;112;103;93;122;106;106;51;71;114;110;109;101;86;76
67;55;119;110;89;74;109;66;120;122;119;111;119;111;99;99;115;114;106;112;124;106;100;100;99;99;91;106;88;72
102;103;107;116;109;106;91;124;103;102;106;91;91;124;110;99;104;59;112;109;120;106;91;71;112;71;109;120;101;96
99;106;110;91;91;124;110;91;121;91;56;91;124;106;104;111;106;106;98;117;124;120;102;106;64;113;109;103;106;91
79;89;103;105;102;95;103;105;109;107;124;124;121;110;106;112;106;121;99;98;91;110;93;104;98;106;102;91;71;106
106;102;100;100;104;104;91;106;109;102;108;119;106;91;105;57;116;107;107;108;109;91;102;91;106;102;94;99;91;91
106;104;106;91;108;108;91;98;121;102;121;104;109;120;91;91;91;91;102;113;102;95;124;91;98;106;102;99;106;104
116;106;91;108;105;105;106;120;106;93;91;91;118;119;106;106;106;106;106;110;106;106;108;104;123;105;91;110;94;109
