individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
14600;14610;14610;14610;14610;14600;14600;14600;14600;14600;14600;14600;14600;14600;14744;14610;14604;14677;14633;14624;14601;14604;14600;14600;14600;14600;14600;14744;14607;14611
14610;14610;14600;14679;14744;14600;14600;14605;14600;14600;14600;14744;14610;14625;14600;14600;14600;14605;14657;14600;14610;14605;14679;14600;14600;14744;14683;14671;14600;14610
14608;14602;14647;14610;14600;14600;14600;14600;14744;14679;14679;14744;14688;14661;14602;14603;14600;14600;14600;14600;14605;14600;14600;14600;14600;14744;14600;14600;14600;14600
14744;14744;14600;14600;14603;14743;14659;14685;14600;14744;14618;14605;14600;14600;14600;14618;14604;14601;14600;14600;14603;14607;14744;14600;14600;14600;14600;14600;14600;14600
14744;14600;14691;14663;14600;14602;14744;14600;14605;14602;14600;14600;14600;14600;14603;14600;14744;14744;14629;14715;14610;14600;14600;14744;14652;14692;14600;14744;14606;14601
14605;14600;14742;14602;14600;14607;14600;14600;14657;14600;14636;14708;14624;14655;14679;14600;14651;14693;14610;14607;14640;14704;14744;14607;14679;14607;14730;14614;14716;14653
14600;14607;14744;14602;14732;14612;14600;14744;14610;14679;14744;14744;14603;14607;14610;14600;14600;14600;14610;14600;14600;14600;14607;14618;14603;14625;14613;14612;14600;14744
14605;14739;14736;14608;14600;14600;14657;14600;14600;14600;14607;14600;14600;14600;14603;14605;14600;14600;14697;14657;14600;14600;14610;14600;14744;14679;14600;14600;14600;14744
14600;14679;14600;14600;14744;14600;14667;14630;14744;14679;14744;14600;14600;14600;14661;14618;14600;14600;14679;14679;14600;14600;14601;14602;14600;14600;14607;14607;14600;14600
14692;14662;14600;14600;14679;14602;14600;14600;14707;14637;14739;14605;14744;14600;14607;14600;14610;14600;14663;14706;14609;14601;14662;14689;14611;14614;14600;14600;14600;14600
14603;14602;14600;14744;14600;14600;14600;14607;14600;14600;14607;14600;14602;14603;14744;14600;14600;14600;14600;14602;14605;14600;14600;14600;14600;14600;14600;14607;14600;14610
14744;14600;14600;14600;14600;14600;14603;14600;14602;14605;14603;14604;14744;14744;14732;14612;14679;14600;14600;14600;14602;14742;14601;14606;14602;14605;14647;14632;14609;14601
14600;14600;14661;14620;14600;14600;14600;14600;14600;14600;14602;14601;14600;14607;14600;14603;14600;14600;14607;14607;14600;14600;14600;14600;14612;14613;14600;14600;14703;14641
14600;14600;14600;14600;14610;14600;14600;14607;14605;14600;14657;14625;14606;14601;14600;14600;14607;14600;14600;14744;14608;14602;14600;14610;14609;14601;14655;14689;14675;14669
14607;14603;14600;14600;14600;14600;14663;14681;14600;14744;14600;14600;14603;14744;14600;14600;14600;14600;14600;14600;14600;14610;14648;14696;14744;14679;14600;14744;14600;14679
14600;14679;14744;14607;14610;14610;14685;14659;14619;14616;14618;14668;14626;14653;14600;14600;14610;14610;14646;14633;14600;14600;14600;14600;14679;14600;14606;14606;14600;14600
14679;14600;14605;14602;14600;14625;14609;14608;14679;14607;14600;14600;14600;14600;14600;14600;14610;14602;14608;14617;14600;14600;14744;14744;14600;14605;14607;14600;14631;14713
14600;14600;14610;14600;14600;14600;14679;14600;14600;14600;14600;14600;14600;14600;14606;14601;14673;14671;14604;14675;14600;14600;14603;14604;14600;14600;14601;14602;14600;14600
14744;14600;14744;14600;14610;14610;14607;14603;14720;14624;14730;14614;14600;14600;14744;14744;14600;14600;14607;14600;14606;14742;14607;14744;14600;14600;14606;14604;14604;14600
14600;14600;14619;14725;14600;14600;14601;14602;14600;14744;14600;14600;14604;14600;14600;14600;14600;14744;14744;14602;14602;14608;14601;14606;14600;14603;14600;14744;14600;14600
14600;14600;14603;14604;14600;14600;14743;14601;14628;14651;14605;14600;14600;14600;14744;14600;14600;14625;14604;14600;14600;14610;14607;14600;14664;14680;14714;14637;14607;14610
14600;14744;14604;14600;14637;14707;14600;14600;14603;14607;14600;14600;14600;14600;14600;14600;14607;14603;14600;14600;14614;14665;14603;14601;14608;14624;14626;14631;14600;14600
