individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
97;79;22;50;99;70;9;94;18;49;16;47;60;13;26;85;100;35;36;76;55;16;46;15;27;34;27;95;18;71
70;79;25;24;60;13;50;70;58;89;96;86;53;49;64;52;63;35;70;47;27;27;48;18;49;47;52;27;50;47
35;38;81;31;79;49;17;46;27;57;69;48;18;71;49;58;47;52;97;16;81;62;67;78;13;71;18;60;60;47
13;49;47;18;52;60;19;32;40;76;33;32;71;77;27;38;75;48;76;62;58;60;28;34;13;18;52;60;31;78
13;70;51;58;73;23;76;78;42;46;60;60;74;50;40;60;76;40;13;18;18;18;28;13;71;31;19;47;49;18
76;20;49;49;40;18;61;75;78;46;18;78;51;31;46;36;49;22;78;74;51;49;57;52;69;36;19;46;18;46
31;18;45;22;46;43;42;34;40;40;57;49;50;37;70;49;71;49;49;39;29;46;46;49;31;13;36;49;46;57
33;17;31;51;22;47;40;31;57;49;50;50;49;31;49;49;13;13;13;31;28;16;31;40;49;46;31;51;48;47
51;49;57;51;51;40;42;39;27;17;18;42;31;47;37;37;44;36;52;44;31;31;50;31;41;47;37;45;31;31
31;31;49;50;51;47;45;35;51;37;31;31;31;50;31;31;51;51;37;51;37;31;42;38;45;39;57;46;42;39
39;34;57;57;50;50;39;47;51;51;33;35;37;31;51;51;57;57;31;51;37;31;47;46;51;51;34;48;54;52
34;48;37;51;57;31;38;49;49;50;31;50;51;51;57;51;49;51;53;55;49;56;39;43;46;36;57;51;51;31
48;51;57;50;41;46;52;55;31;51;45;51;37;48;50;38;39;48;51;51;57;37;53;53;31;45;51;31;49;49
46;50;31;34;48;50;45;37;56;49;37;37;31;57;50;49;42;45;51;51;50;57;48;50;53;54;41;44;31;48
31;34;49;36;34;56;39;43;47;40;48;31;31;51;48;45;41;41;49;50;55;49;34;50;48;34;34;50;51;50
31;56;31;49;57;31;51;50;31;34;31;56;55;37;49;50;49;51;49;37;50;48;45;42;51;48;50;56;56;56
41;31;50;50;56;56;31;37;49;50;44;47;39;33;50;54;51;53;56;57;48;31;56;50;37;56;55;51;51;50
49;48;42;55;37;51;37;51;50;51;53;53;48;49;45;46;48;47;41;41;36;46;51;53;50;37;50;50;50;31
34;46;51;51;50;48;50;56;49;49;54;50;39;40;48;49;41;50;53;56;47;39;47;47;56;56;49;50;53;50
37;56;53;49;47;35;47;41;49;49;53;51;52;50;48;41;50;56;49;42;49;52;43;43;41;49;50;51;47;50
50;49;56;51;49;49;51;51;36;44;38;41;49;49;49;56;47;31;50;50;56;37;49;50;31;56;56;44;53;49
51;43;56;53;49;49;50;49;50;31;50;47;44;49;41;49;50;50;56;50;48;43;55;51;50;50;50;49;50;50
49;50;53;52;50;32;49;49;33;48;50;56;49;50;50;50;31;49;50;56;41;50;47;50;48;48;51;52;44;47
50;50;56;50;49;49;47;56;49;50;50;50;53;31;47;56;50;50;49;49;49;49;50;50;34;47;52;53;41;50
49;50;49;49;41;49;48;47;49;55;50;50;53;49;56;53;49;50;50;31;35;46;50;50;50;49;47;50;53;50
48;49;31;50;49;50;31;50;49;49;50;49;50;49;49;49;49;56;53;50;49;48;31;50;50;56;50;50;47;50
48;49;50;47;50;53;56;47;48;49;39;42;53;50;50;48;47;50;49;49;53;50;53;50;50;47;33;48;47;47
50;50;50;49;50;54;50;50;56;50;50;50;50;53;51;52;50;56;50;47;55;50;50;56;47;50;50;53;49;49
50;47;50;49;50;48;50;49;47;50;45;36;50;50;49;50;50;50;50;50;50;50;47;53;50;50;50;56;49;41
