AggressivenessPct;ScaryPct;Speed;MaxVitality;Strength;MaxEnergy;SightDistance;FieldOfViewDregrees;SmellingHearingRadius;SeeingPriorityPct
70,50997;35,3;59,05;2609,26;258,52;13,25;66,96001;104;57,17998;25,65
71,25999;35,32001;60,48;2599,27;265,9101;13,64;72,47;105,43;61,20998;24,72999
73,97001;30,75;60,35999;2642,2;262,19;13,15;71,26001;104,37;62,04998;22,65
71,45;33,81001;59,00998;2585,58;266,7101;12,91;63,84999;102,06;61;26,04
76,65999;28,04;60,82999;2581,86;274,6799;13,29;69,26001;101,26;61,92999;21,35
75,24999;29,87001;61,74;2731,969;270,81;12,42;69,66002;101,8;64,36998;20,78001
74,04002;29,56;60,40999;2637,46;261,7401;12,58;74,40002;108,02;61,45998;22,12
74,28;33,2;59,88;2661,26;268,35;12,82;68,44998;100,76;62,57998;23,66
75,65;27,76;61,20999;2649,67;273;13,19;72,56999;107,5;62,19999;21,71
74,23999;28,52999;60,94999;2644,66;271,34;12,78;74,85001;102,97;62,86998;23,08
75,10999;32,19;61,40999;2663,57;275,26;13,63;68,52;102,45;63,54997;20,22
75,90998;28,21;61,11999;2680,871;279,2301;12,56;71,32999;103,74;66,62999;20,72
73,94999;32,75;59,82998;2738,93;279,21;12,93;70,65;104,1;63,16998;21,08
74,71001;31,17;60,93001;2722,3;270,5999;12,74;69,67001;104,84;63,78999;22,32
73,94;31,68;61,07999;2633,57;273,87;13,44;72,61;100,95;64,03999;22,41
73,47999;33,81001;61,79;2622,15;277,7901;13,15;70,69999;100,56;62,79998;22,43
73,51;33,95;60,18999;2599,84;270,94;13,78;69,04002;101,72;62,50999;23,27
73,49;31,81001;60,84998;2661,15;273,48;13,27;70,65001;102,99;62,91998;24,1
76,28001;28,6;62,32998;2663,8;286,55;13,27;70,52999;102,3;64,11998;20,48
72,17;28,05;60,07999;2707,43;274,7499;12,65;72,39;105,81;65,73997;24,70999
73,12997;31,79;60,37999;2722,679;278,4;13,06;69,64001;102,5;62,96997;22,15
71,10999;36,7;60,56999;2626,471;283,4299;13,76;69,40001;99,78999;60,88999;24,81
74,34;26,62;62,14;2649,8;285,84;14,14;74,47;103,55;66,03997;20,99
71,90001;34,45001;60,53;2735,56;279,99;12,86;71,93001;106,22;63,88997;21,77999
71,93;28,75999;60,68999;2703,3;279,38;12,6;71,38998;103,75;65,62998;20,68
72,59;32,90001;61,29999;2703,18;282,5799;12,8;69,78;103,91;64,87997;22,89
73,97;30,06001;60,20999;2667,05;267,46;12,78;72,37;104,91;64,98998;22,51
