individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
50;78;40;18;71;66;32;29;82;52;23;48;64;57;28;28;3;2;7;52;16;40;20;35;78;62;52;58;7;42;20;31;43;43;20;52;23;29;42;12;28;28;6;4;0;46;60;78;0;14;49;59;9;46;48;12;20;49;96;96;69;62;60;40;42;60;49;95;71;20;72;51;5;7;70;65;67;3;24;23;48;51;14;28;84;73;43;86;20;9;42;48;81;64;1;51;44;34;86;71
7;9;57;44;58;32;7;15;10;26;42;79;25;44;7;52;79;7;3;89;51;15;72;66;29;66;13;48;39;63;41;1;68;14;46;52;44;49;50;50;65;65;20;3;31;24;55;39;0;79;52;51;21;21;9;10;63;67;27;7;3;3;12;13;20;52;25;43;20;20;54;57;71;3;0;42;46;44;9;7;80;50;42;42;45;12;15;23;7;37;38;12;65;42;48;3;24;25;20;52
95;86;7;9;8;41;43;49;89;55;79;7;70;84;95;60;39;3;20;42;69;31;13;39;3;70;51;51;49;59;25;44;71;42;33;26;36;47;50;39;47;46;71;59;49;51;46;14;48;5;10;62;43;20;8;42;59;20;34;23;7;13;30;53;9;84;59;51;47;46;13;18;1;20;34;12;43;23;22;37;43;42;16;9;1;20;2;1;55;43;0;5;26;26;80;77;17;43;20;89
49;47;69;17;52;67;52;27;79;81;46;42;71;71;44;14;50;23;11;16;1;39;68;43;68;69;41;27;6;4;27;62;15;37;7;95;84;41;34;60;89;34;20;49;12;44;43;51;39;70;49;42;27;7;1;86;52;52;76;74;89;95;51;53;49;42;71;7;0;42;71;42;9;53;58;61;60;49;20;23;44;81;57;74;62;56;48;15;2;1;43;20;17;49;53;51;42;52;35;15
48;43;71;9;30;26;3;3;96;43;49;7;44;96;3;59;43;71;55;38;3;79;45;37;13;58;31;19;44;15;60;20;3;70;49;49;89;52;2;42;43;60;3;49;60;20;47;92;47;57;7;67;80;7;48;49;52;22;1;39;43;41;5;9;15;60;35;5;71;20;28;57;42;51;70;80;72;67;44;31;42;12;44;47;80;49;70;34;79;42;80;48;14;64;51;3;26;47;51;3
20;96;90;54;43;49;13;52;95;49;75;91;40;14;43;34;30;42;20;7;50;49;7;51;54;36;20;46;14;45;34;29;5;3;44;15;49;89;49;15;20;20;79;59;46;10;9;39;34;22;49;79;44;6;50;56;43;42;41;39;23;27;24;37;59;53;70;42;14;52;43;1;15;96;7;56;4;0;48;70;49;44;5;60;77;54;49;59;7;33;50;51;5;41;3;52;50;51;33;24
42;53;24;27;5;53;7;34;49;80;26;20;60;59;15;38;59;49;0;44;43;49;20;15;62;51;19;16;95;43;42;7;95;5;23;43;42;20;20;34;0;60;28;40;67;7;4;7;16;68;5;43;18;22;21;42;64;7;31;27;41;69;33;69;5;7;0;1;48;49;24;21;3;70;42;51;61;62;4;3;20;5;41;9;23;56;7;43;47;45;67;46;29;30;96;23;53;48;23;39
23;34;64;80;86;80;47;7;5;6;47;72;16;19;6;13;45;49;49;49;3;52;33;20;27;32;20;7;37;19;5;51;79;1;7;42;3;20;63;37;89;67;44;15;51;7;1;5;49;3;49;43;15;20;20;17;20;15;47;54;49;9;42;60;10;10;4;6;3;33;24;30;20;23;24;24;70;3;71;3;7;7;33;30;26;24;23;60;19;35;44;70;10;9;59;63;30;59;49;51
49;49;6;53;52;4;49;49;52;43;60;44;1;60;15;11;69;14;54;62;9;67;47;35;3;3;5;4;49;79;42;39;35;40;49;49;20;70;46;46;23;64;18;5;84;54;34;41;44;44;84;3;40;18;41;54;3;70;52;60;84;3;59;20;48;42;20;14;56;22;43;48;28;31;49;33;8;2;43;48;24;18;7;3;68;70;11;44;48;14;52;52;70;73;49;49;42;43;50;44
53;69;20;20;68;24;9;45;41;41;20;49;49;1;23;79;79;41;14;38;3;3;96;20;49;50;79;20;63;59;28;36;79;34;14;34;70;43;3;96;60;43;42;84;71;61;53;58;20;20;71;20;20;20;6;8;46;46;7;89;8;8;43;43;0;7;11;18;20;23;29;20;39;59;39;60;45;43;36;15;27;34;35;56;24;38;71;5;20;79;51;29;86;42;15;0;71;20;47;35
