individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
70;58;65;67;37;71;45;44;65;52;44;60;64;70;60;60;65;64;74;68;56;66;65;40;64;58;63;51;70;69;64;59;68;68;65;43;40;70;70;70;63;49;40;74;62;70;43;58;62;68;48;50;68;72;68;41;40;43;51;51;61;67;40;40;70;66;55;66;40;55;60;51;67;74;47;54;43;49;40;54;68;64;63;69;39;50;66;37;62;57;70;68;60;57;67;71;55;74;39;50
68;68;70;50;42;50;69;54;54;68;48;69;55;40;69;68;47;74;55;43;73;62;58;43;39;38;72;57;68;67;62;64;54;68;70;68;40;70;67;52;59;57;40;40;68;70;62;66;48;51;68;71;47;44;47;66;66;41;66;55;56;49;65;53;63;67;61;68;42;49;65;65;55;40;52;70;69;69;65;49;40;70;49;50;68;68;54;58;69;69;40;74;61;70;66;42;72;70;63;42
39;64;69;40;74;70;70;55;55;66;64;69;41;60;66;66;51;65;62;70;40;40;65;55;65;41;71;64;43;50;62;55;52;70;40;51;53;57;58;63;70;71;64;64;55;64;68;64;68;67;55;57;69;63;56;66;59;53;65;43;54;59;52;53;57;43;70;66;65;69;68;40;67;40;51;74;66;58;66;71;70;40;48;59;67;62;48;44;60;68;58;61;70;68;53;39;40;40;45;53
60;61;50;55;55;41;50;62;58;52;70;70;53;54;68;70;53;51;54;65;67;51;64;56;71;41;60;59;72;40;67;60;64;67;72;66;59;60;64;64;58;62;40;64;63;61;64;66;51;41;64;70;54;72;58;46;65;68;54;48;61;63;60;40;41;54;55;74;67;55;52;70;43;50;48;41;66;55;50;48;42;46;68;47;52;64;68;50;64;63;70;62;40;48;59;65;57;55;72;66
43;70;60;60;57;60;40;40;51;70;48;72;55;51;62;64;40;55;62;50;40;64;64;65;62;55;72;72;74;68;66;40;40;41;55;48;58;68;69;68;66;70;65;48;66;62;56;65;55;66;68;52;40;69;65;51;65;52;65;53;40;70;67;40;50;66;67;51;55;62;52;68;70;64;41;40;64;66;57;56;67;43;55;70;40;64;41;62;64;70;55;54;55;74;64;65;68;50;65;64
49;42;55;66;70;64;66;61;66;48;51;41;71;65;68;41;58;61;69;62;57;60;74;64;40;41;48;62;57;41;70;62;66;66;45;50;61;61;48;40;49;53;51;70;64;69;40;55;71;61;48;64;55;67;50;38;48;62;56;55;68;72;60;40;53;50;41;70;68;68;70;67;51;50;48;58;40;62;55;54;55;55;61;66;46;58;52;70;51;67;68;55;66;65;68;65;57;66;67;68
70;53;60;69;67;40;69;62;45;50;61;59;66;61;68;61;48;50;54;53;49;64;40;40;70;55;50;51;66;70;70;74;66;67;58;70;61;49;40;62;52;66;67;41;70;56;58;54;44;65;67;70;74;67;65;66;62;52;59;40;55;51;64;58;69;67;67;52;59;64;58;64;59;47;68;67;61;56;67;67;51;61;70;72;61;40;68;46;70;48;67;40;51;51;57;52;53;68;58;51
70;68;59;55;37;40;61;43;40;72;67;37;50;51;40;50;66;68;55;64;54;54;54;53;46;45;66;64;68;62;71;61;64;67;72;70;40;40;67;52;66;51;54;51;73;72;67;67;54;59;42;41;43;47;40;40;40;40;62;52;64;40;69;67;40;40;40;67;66;66;41;40;55;54;50;67;41;59;54;41;70;73;59;58;69;70;63;61;64;61;55;41;50;40;42;62;56;59;64;64
58;54;60;60;65;40;64;48;66;65;61;60;67;66;40;40;40;59;51;40;59;57;66;64;40;59;59;48;64;47;70;51;69;68;48;64;42;50;70;55;74;40;59;62;60;52;58;68;51;43;62;63;44;51;58;53;59;41;68;66;43;57;42;48;68;70;66;64;60;69;70;64;61;58;64;66;40;67;70;55;56;51;61;47;60;46;59;68;68;68;55;66;61;60;55;55;70;70;46;64
41;68;40;51;37;67;62;60;59;56;59;58;48;67;63;59;64;70;67;64;60;64;51;62;63;59;47;40;66;59;40;66;63;63;40;67;42;45;59;51;66;40;70;60;66;58;64;66;40;62;52;62;40;40;54;53;64;66;72;58;45;64;50;56;62;74;40;62;58;40;69;70;51;61;51;66;48;51;40;70;54;66;42;50;40;70;55;61;62;64;40;66;37;70;52;40;53;53;58;56
